,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Total,"60,579","4,966","4,836","4,717","5,137","5,216","5,120","4,886","5,068","4,966","5,150","5,225","5,292"
Se fugó,"1,982",137,106,210,218,120,240,120,267,174,125,134,131
Hombre,"48,338","3,971","3,879","3,745","3,906","4,057","4,052","3,980","4,076","3,976","4,164","4,164","4,368"
Mujer,"10,259",858,851,762,"1,013","1,039",828,786,725,816,861,927,793
Total,"58,968","4,885","4,902","5,394","4,734","4,792","4,936","4,782","4,898","4,691","5,008","4,816","5,130"
Se fugó,"2,070",164,322,140,148,115,187,120,152,148,203,162,209
Hombre,"46,178","3,931","3,824","4,053","3,567","3,777","3,837","3,832","3,899","3,686","3,863","3,796","4,113"
Mujer,"10,720",790,756,"1,201","1,019",900,912,830,847,857,942,858,808
Total,"56,644","4,973","4,717","4,868","4,341","4,807","4,630","4,618","4,384","4,754","4,869","4,658","5,025"
Se fugó,"2,059",173,128,221,255,245,263,127,129,145,108,117,148
Hombre,"44,844","3,917","3,769","3,812","3,339","3,717","3,548","3,638","3,593","3,793","3,924","3,730","4,064"
Mujer,"9,741",883,820,835,747,845,819,853,662,816,837,811,813
Total,"54,691","4,168","4,030","4,508","4,083","4,542","4,419","4,516","4,844","4,827","5,146","4,634","4,974"
Se fugó,"1,652",131,146,153,132,155,130,131,116,115,146,119,178
Hombre,"44,311","3,453","3,207","3,558","3,315","3,698","3,495","3,704","3,889","3,897","4,258","3,791","4,046"
Mujer,"8,728",584,677,797,636,689,794,681,839,815,742,724,750
Total,56327,4591,4542,4775,4262,4601,4730,4584,4635,4560,5042,4977,5028
Se fugó,1501,153,118,121,132,111,133,145,117,114,121,96,140
Hombre,46314,3723,3687,3915,3522,3780,3881,3797,3774,3730,4084,4190,4231
Mujer,8512,715,737,739,608,710,716,642,744,716,837,691,657
Total,"52,188","4,255","4,406","4,300","4,356","4,685","4,580","4,253","4,304","4,182","4,332","4,141","4,394"
Se fugó,"1,593",142,136,121,135,136,136,121,135,137,130,121,143
Hombre,"43,120","3,556","3,535","3,551","3,576","3,871","3,853","3,547","3,560","3,489","3,553","3,431","3,598"
Mujer,"7,475",557,735,628,645,678,591,585,609,556,649,589,653
Total,"49,151","3,982","4,026","4,641","3,908","4,191","4,070","4,051","4,055","3,922","4,139","4,106","4,060"
Se fugó,"2,227",431,122,178,154,139,159,136,190,180,153,187,198
Hombre,"39,972","2,971","3,236","3,752","3,200","3,468","3,335","3,452","3,315","3,136","3,383","3,372","3,352"
Mujer,"6,952",580,668,711,554,584,576,463,550,606,603,547,510
Total,"42,251","3,591","3,703","3,696","3,248","3,632","3,406","3,218","3,493","3,277","3,509","3,512","3,966"
Se fugó,"1,810",166,153,122,140,138,132,126,142,133,184,166,208
Hombre,"35,095","2,936","3,017","3,088","2,713","3,004","2,812","2,681","2,968","2,696","2,842","2,953","3,385"
Mujer,"5,346",489,533,486,395,490,462,411,383,448,483,393,373
Total,"30,723","3,129","2,920","2,646","2,749","3,092","2,258","2,520","2,318","2,316","2,328","2,159","2,288"
Se fugó,"1,878",204,141,164,121,178,171,138,122,156,152,150,181
Hombre,"25,062","2,537","2,340","2,194","2,249","2,505","1,829","2,110","1,902","1,904","1,902","1,743","1,847"
Mujer,"3,783",388,439,288,379,409,258,272,294,256,274,266,260
Total,"24,465","1,959","1,907","1,877","1,763","1,857","1,729","1,746","1,935","1,870","2,228","2,810","2,784"
Se fugó,"3,151",450,409,412,382,403,344,138,96,137,120,121,139
Hombre,"18,145","1,277","1,244","1,226","1,175","1,214","1,182","1,391","1,587","1,504","1,828","2,228","2,289"
Mujer,"3,169",232,254,239,206,240,203,217,252,229,280,461,356
Total,"25,067","2,366","2,395","2,498","2,230","2,110","1,914","1,874","2,017","1,944","1,988","1,911","1,820"
Se fugó,"4,848",458,547,571,511,382,295,393,356,281,430,354,270
Hombre,"16,834","1,603","1,509","1,602","1,402","1,437","1,322","1,241","1,381","1,418","1,305","1,299","1,315"
Mujer,"3,385",305,339,325,317,291,297,240,280,245,253,258,235
